State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	1.55251	1.54276	1.49889	1.46965	1.41603	1.53301	1.52570	1.56714	1.67194	1.72799	1.69387	1.65731	1.66950	1.74749	1.69875	1.72312	1.62563	1.68412	1.75237	1.75968	1.82304
2	1.36011	1.38832	1.39961	1.41090	1.41090	1.40526	1.47298	1.56892	1.55763	1.46734	1.52377	1.59149	1.69872	1.54635	1.55763	1.63100	1.64793	1.64229	1.53506	1.51248	1.54070
3	3.22438	3.24914	3.30484	3.16868	3.22438	3.16250	3.25533	3.12536	3.19963	3.08823	3.21820	3.40386	3.40386	3.32959	3.41005	3.14393	3.08204	3.06347	3.10061	3.08204	3.01396
4	4.78244	4.65366	4.40781	4.34342	4.09171	3.96293	3.72293	3.48878	3.34830	3.23708	2.93269	2.82147	2.73366	2.74537	2.89171	3.08488	3.21951	3.19025	3.13756	3.13756	3.17269
5	0.53304	0.48286	0.47201	0.44488	0.42861	0.42589	0.41504	0.41775	0.43132	0.46658	0.46794	0.46658	0.46523	0.47472	0.47879	0.49642	0.49914	0.50863	0.52084	0.54118	0.53983
6	2.03510	2.03510	2.07962	2.05736	2.10506	2.01284	2.04782	2.07644	1.98104	1.79979	1.73619	1.68532	1.64080	1.55176	1.45955	1.42139	1.41503	1.40867	1.38641	1.39277	1.47227
7	4.81221	4.85213	4.85068	4.86157	4.83108	4.81874	4.78245	4.69679	4.60822	4.48917	4.34906	4.19662	4.06014	3.91060	3.75525	3.58974	3.41987	3.29791	3.17813	3.03440	2.93132
8	1.12404	1.12693	1.13309	1.13829	1.14754	1.15236	1.15968	1.17143	1.19263	1.22365	1.26180	1.29706	1.32422	1.36121	1.39609	1.42730	1.46641	1.48953	1.50668	1.53192	1.54541
9	0.63795	0.63770	0.63780	0.63921	0.64138	0.64153	0.64269	0.64582	0.64667	0.64995	0.65217	0.65404	0.65666	0.65817	0.66059	0.66352	0.66685	0.66836	0.67128	0.67375	0.67552
10	1.01681	0.98885	1.01681	1.01681	1.02698	1.03969	1.04731	1.07528	1.03969	1.03715	1.04986	1.04731	1.04986	1.07528	1.05240	1.03715	1.00918	1.00410	1.02952	1.04223	1.00918
