State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	4.64232	5.57380	6.71394	7.84548	8.62852	8.76190	7.63036	5.39094	3.50648	3.70009	3.23543	1.96191	2.04581	2.34267	2.96653	3.90445	4.56273	4.85314	4.56273	4.07870	3.48927
2	2.13200	2.32627	2.41594	2.50062	2.47571	2.48568	2.40598	1.94271	1.53923	1.21544	0.98630	0.95143	0.88667	0.85180	0.93649	1.06102	1.28020	1.42964	1.53425	1.55417	1.57410
3	4.44653	5.29323	6.48407	8.82751	13.03916	19.56147	28.48731	39.64187	48.17441	52.42975	51.33178	36.47358	27.23638	21.68641	17.57309	13.47070	9.59774	6.68619	4.93270	3.67085	3.02626
4	7.40909	8.84544	11.11364	13.51100	16.36820	19.02390	20.93042	21.57626	21.12159	18.28506	21.17326	38.28030	45.93739	49.08393	49.27510	46.89840	41.32350	33.97125	26.75849	20.73409	16.00136
5	0.99964	0.83324	0.69676	0.60218	0.54232	0.47767	0.43458	0.40345	0.37711	0.36155	0.31845	0.31246	0.32683	0.34479	0.35317	0.42141	0.56507	0.78415	1.16126	1.61140	2.14534
6	4.12863	3.95743	3.49432	2.87404	2.06853	1.43983	1.11145	0.99076	0.97673	1.02163	1.13671	1.09461	1.07496	1.13951	1.49035	2.50356	4.69839	7.54156	9.88514	11.51302	12.16978
7	0.84322	0.78940	0.72468	0.67278	0.63305	0.60999	0.58948	0.58244	0.58180	0.59845	0.61511	0.63049	0.64587	0.66317	0.67791	0.68752	0.72148	0.79260	0.90665	1.05338	1.20972
8	0.97104	0.92904	0.88397	0.82547	0.75626	0.68092	0.62038	0.56715	0.53977	0.52447	0.51596	0.51613	0.52259	0.53739	0.55287	0.57225	0.60864	0.65592	0.70252	0.74826	0.78942
9	0.80688	0.79045	0.76553	0.73410	0.69595	0.65149	0.61174	0.58436	0.57043	0.56215	0.55886	0.55903	0.56384	0.56958	0.57697	0.58570	0.59763	0.60666	0.61721	0.62420	0.63043
10	0.65741	0.64619	0.64619	0.63497	0.59010	0.55420	0.49362	0.43752	0.40387	0.38592	0.37919	0.37694	0.39489	0.38368	0.37694	0.39265	0.39489	0.40162	0.38368	0.39938	0.39489
