State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	1.42654	2.81805	1.35701	1.00562	1.69405	3.23553	4.70644	0.63541
2	0.61606	0.23629	1.19734	1.08560	1.52393	0.98633	1.67937	0.66889
3	0.56179	43.94663	6.13038	1.12943	3.21853	51.32789	18.59163	0.33252
4	0.59395	30.38058	6.35877	2.07397	2.93299	21.17391	22.12383	0.21455
5	2.56336	0.15862	0.44129	2.26651	0.46799	0.31846	0.65260	0.17842
6	1.09339	0.83057	2.27828	2.26797	1.73319	1.13674	3.12766	0.19801
7	4.78944	1.16546	5.09303	2.24295	4.34807	0.61513	0.75697	0.24421
8	18.04540	0.59615	1.07947	0.89008	1.26193	0.51598	0.69418	0.25844
9	68.94232	0.49156	0.59588	0.86646	0.65224	0.55887	0.67860	1.31573
10	1.36773	1.13860	1.11873	0.87760	1.04997	0.37920	0.46613	0.84136
Base	100	0.6832847744	2.4487802305	42.0774209923	0.0009290009	0.0010525920	3.4107529258	36.8568410921
