State (Emission order)	H3K9me3	H3K27me3	H2AZ	H3K9ac	H3K4me3	H3k27ac	H3K4me1	H3K79me2	H4K20me1	H3K36me3
1	0.030101652229475487	0.08044701384925682	0.11039021016973273	0.023342537458056922	0.017071675571975687	0.12919347633819664	0.385095707882126	0.009430353830644911	0.023433127212863402	0.006594778003157865
2	0.07090512771784324	0.04985446494250501	0.22277013222068162	0.24456851973334823	0.09386201100953132	0.9206691593646261	0.9761878542637985	0.06439571264007743	0.016865423711625104	0.05752958473638083
3	0.020232798530748414	0.1493583218633397	0.6923090494268378	0.9378807240237796	0.936487136763387	0.7005766894000419	0.5962710757102919	0.07452920522847013	0.016597691991145344	0.03141627785560554
4	0.0292752760969813	0.062318870943884073	0.393955582962194	0.982110583084331	0.934363648534856	0.8661524811985165	0.5234869455279199	0.9722401906977544	0.144722069295843	0.351881509797074
5	0.03490711272987156	0.03669439935888365	1.1644558416903481E-4	0.0013191045286389887	4.056524136636147E-5	0.013923431196734297	0.009395075962909342	0.565068229196358	0.05293633161714573	0.05902238484009138
6	0.04612133966245867	0.04064470353028424	6.893296985379608E-4	0.07030462560972144	0.034064317399615705	0.23731396265611282	0.3437989324931618	0.915079327566169	0.28274848416285153	0.5012682617513363
7	0.0265743815173544	0.03513771029869721	9.924551215222763E-5	0.002129136682667578	2.0229542836695837E-4	0.017487660525025952	0.002913737237060587	0.03367925376495311	0.03817817190489908	0.40791803417943945
8	0.005387750328495051	0.012255283059448096	2.268051907397711E-4	4.8630523871384115E-4	1.2273098478486903E-5	0.0017404853155609345	1.2476629337549805E-4	0.0025566366426280716	0.004638952057864095	0.004923482825508576
9	0.03531347830307539	0.06503169289019083	0.004311788615085177	2.763881477688735E-4	5.59535446663294E-5	4.448876553176137E-4	1.8336232680586322E-4	4.692136393191823E-5	0.003362631685574106	1.4288842462510765E-4
10	0.3999929524089754	0.052129077153892325	0.017260956821591743	3.1305162473868766E-4	0.013032875997466484	0.015920904858902542	0.002597452513795698	0.007525989649018705	0.007300460364992162	0.041172981398395585
