State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10
1	0.7082177303227869	0.06368581772518825	0.03664024816710253	0.003598222308110381	0.001188021734511168	0.0026168630874226317	0.0032180584685652536	0.05882001160725305	0.11669082725287488	0.005324199326184828
2	0.16915427671089414	0.7675430289647123	0.037409220465150814	0.004908892623009621	3.8566605952095387E-4	0.006463068653758455	0.004307120804611328	0.0	0.0	0.009828725718342438
3	0.10538185749233758	0.041026929141180724	0.7703437468112855	0.07050626389476557	0.0	0.0	2.8510250063363147E-4	0.004805525292362927	0.007003457727573229	6.471171398609004E-4
4	0.009617328111074203	0.004740451413251597	0.06710551312882736	0.8488013009340025	0.0031971345054006227	0.06576410766408601	3.717474189298403E-4	0.0	0.0	4.0241682442784284E-4
5	8.314125935037207E-4	1.6837000354384167E-4	4.818616112995002E-6	7.244488522978608E-4	0.926812306549418	0.056743077712598164	0.003675425314670419	0.01044723175452351	0.0	5.929086033314859E-4
6	0.0037045617447649965	0.0032692955335786506	0.0	0.03316593476956233	0.12736878576129004	0.8036334423440517	0.028573723536092655	0.0	0.0	2.84256310659654E-4
7	0.0010823098654490968	6.039721709948414E-4	1.9953176385916683E-5	3.85703329594656E-5	0.0019474923239045044	0.006489468963526249	0.9651146369745379	0.023609035359110842	0.0	0.001094560833131234
8	0.005197259053515568	0.0	1.7479747551999412E-4	0.0	0.0014313873299709077	0.0	0.006092881723275362	0.9850144278254512	6.006849578936602E-4	0.0014885616343731107
9	0.0028324262889356613	0.0	6.985919303375082E-5	0.0	0.0	0.0	0.0	1.4770756707198246E-4	0.9951981233225807	0.0017518836283778208
10	0.004519328732441282	0.003682288678018296	1.7344209843648148E-4	1.271560015798385E-4	7.522794635465731E-4	2.1809334258331375E-4	0.0031658519714294064	0.015680764340760222	0.06853902373573746	0.9031417716354673
